locality,latitude,longitude,sample_count,time_start_bp,time_end_bp,time_mean_bp,time_label,datasets,sample_ids
"Oland (Kalmar län, Mörbylånga)",56.4775012,16.5761124,1,929,1209,1069,929-1209 BP,"1240k,ho",VK337.SG
"Oland (Kalmar län, Mörbylånga)",56.4593837,16.430668,1,974,1246,1110,974-1246 BP,"1240k,ho",VK349.SG
"Oland (Kalmar län, Mörbylånga)",56.2847285,16.409356,1,961,1233,1097,961-1233 BP,"1240k,ho",VK355.SG
"Oland (Kalmar län, Mörbylånga)",56.5350447,16.6050264,1,1434,1666,1550,1434-1666 BP,"1240k,ho",VK522.SG
"Oland (Kalmar län, Mörbylånga)",56.5046381,16.4293858,1,1534,1766,1650,1534-1766 BP,"1240k,ho",VK579.SG
"Oxie 7 (Skåne län, Vellinge)",55.545,13.098,1,1303,1507,1405,1303-1507 BP,"1240k,ho",RISE174.SG
Rossberga,58.183333,13.65,1,4860,5308,5084,4860-5308 BP,"1240k,ho",ros3.SG
Rössberga,58.183333,13.65,1,4819,5091,4955,4819-5091 BP,"1240k,ho",ros005_renamed.SG
"Sala (Västmanlands län, Sala)",59.9,16.6,1,947,1003,975,947-1003 BP,"1240k,ho",sal002.SG
"Sasta (Stockholms län, Täby)",59.44,18.07,1,715,1235,975,715-1235 BP,"1240k,ho",bro100.SG
"Sigtuna (Stockholms län, Upplands-Bro)",59.6,17.7,1,909,1069,989,909-1069 BP,"1240k,ho",stg018.SG
"Sigtuna, cemetery 2 (Kålsängen)",59.61731,17.72361,1,726,1074,900,726-1074 BP,"1240k,ho",vik_kls001.SG
"Sillvik (Västra Götalands län, Gothenburg)",57.736,11.744,1,3892,4040,3966,3892-4040 BP,"1240k,ho",NEO261.SG
"Skateholm-1 (Skåne län, Trelleborg)",55.386,13.481,1,6722,7002,6862,6722-7002 BP,"1240k,ho",NEO679.SG
"Skåne (Gävleborgs län, Hudiksvall)",61.658497,17.003742,1,5574,5918,5746,5574-5918 BP,"1240k,ho",Kvarlov5164.AG
Stora Bjers,57.792,18.538,1,8549,8993,8771,8549-8993 BP,"1240k,ho",SBj.SG
"Vattenledningen (Skåne län, Vellinge)",55.503,13.009,1,3703,3863,3783,3703-3863 BP,"1240k,ho",NEO52.SG
Vendel (Uppsala),60.16,17.59,1,1326,1394,1360,1326-1394 BP,"1240k,ho",ven001_viking.SG
"Viby (Skåne län, Kristianstad)",56.025,14.233,1,4391,4583,4487,4391-4583 BP,"1240k,ho",RISE94.SG
"Ängdala (Skåne län, Malmö)",55.588,13.113,1,5545,5673,5609,5545-5673 BP,"1240k,ho",NEO46.SG
