genetic_id,master_id,group_id,locality,political_entity,latitude,longitude,publication,year_first_published,full_date,date_mean_bp,date_stddev_bp,time_start_bp,time_end_bp,time_mean_bp,time_label,data_type,molecular_sex,datasets
VK530.SG,7581,Norway_Viking,"Rønvik nedre (32/100, Rønvik) (Nordland, Bodø)",Norway,67.28,14.39,MargaryanWillerslevNature2020,,900-1000 CE,1000,29,942,1058,1000,900-1000 CE,Shotgun,F,"1240k,ho"
VK419.SG,7473,Norway_Viking,"Rønvik Øvre (31/-) (Nordland, Bodø)",Norway,67.29,14.42,MargaryanWillerslevNature2020,,500-1000 CE,1200,144,912,1488,1200,500-1000 CE,Shotgun,M,"1240k,ho"
VK417.SG,7471,Norway_Viking,"Sandeødegården on Nedre Hov (262/- or 263/-, Lindbak) (Nor South, Oppland, Gran)",Norway,60.36,10.57,MargaryanWillerslevNature2020,,600-1100 CE,1100,144,812,1388,1100,600-1100 CE,Shotgun,F,"1240k,ho"
CGG_2_107042.SG,118079,Norway_SkeieKlepp_IA_EarlyGermanic,"Skeie, Klepp (Western Norway/ Rogaland)",Norway,58.693992,5.547228,McCollWillerslevBioRxiv2025,,400-550 calCE (1475±75 BP),1380,70,1240,1520,1380,400-550 calCE (1475±75 BP),Shotgun,M,"1240k,ho"
CGG_2_107043.SG,118081,Norway_SkeieKlepp_IA_EarlyGermanic,"Skeie, Klepp (Western Norway/ Rogaland)",Norway,58.693992,5.547228,McCollWillerslevBioRxiv2025,,400-550 calCE (1475±75 BP),1380,70,1240,1520,1380,400-550 calCE (1475±75 BP),Shotgun,M,"1240k,ho"
VK389.SG,7444,Norway_Viking,"Skien nor (Nor South, Vestfold og Telemark, Telemark)",Norway,59.22,9.59,MargaryanWillerslevNature2020,,900-1000 CE,1000,29,942,1058,1000,900-1000 CE,Shotgun,M,"1240k,ho"
VK390.SG,7445,Norway_IA,"Skien nor (Nor South, Vestfold og Telemark, Telemark)",Norway,59.22,9.59,MargaryanWillerslevNature2020,,400-600 CE,1450,58,1334,1566,1450,400-600 CE,Shotgun,M,"1240k,ho"
VK391.SG,7446,Norway_IA,"Skien nor (Nor South, Vestfold og Telemark, Telemark)",Norway,59.22,9.59,MargaryanWillerslevNature2020,,400-600 CE,1450,58,1334,1566,1450,400-600 CE,Shotgun,F,"1240k,ho"
VK392.SG,7447,Norway_Viking,"Skien nor (Nor South, Vestfold og Telemark, Telemark)",Norway,59.22,9.59,MargaryanWillerslevNature2020,,700-1000 CE,1100,87,926,1274,1100,700-1000 CE,Shotgun,F,"1240k,ho"
CGG_2_105636.SG,117647,Norway_Skjeggesnes_EBA,Skjeggesnes (Northern Norway/ Nordland),Norway,63.74603,11.2983,McCollWillerslevBioRxiv2025,,"1300-1100 calBCE (3150±100 BP, TUa-2472)",3349,124,3101,3597,3349,"1300-1100 calBCE (3150±100 BP, TUa-2472)",Shotgun,M,"1240k,ho"
CGG_2_105638.SG,117649,Norway_Skjeggesnes_EBA,Skjeggesnes (Northern Norway/ Nordland),Norway,63.74603,11.2983,McCollWillerslevBioRxiv2025,,1300-1100 calBCE (3150±100 BP),3349,124,3101,3597,3349,1300-1100 calBCE (3150±100 BP),Shotgun,F,"1240k,ho"
CGG_2_105639.SG,117651,Norway_Skjeggesnes_EBA,Skjeggesnes (Northern Norway/ Nordland),Norway,63.74603,11.2983,McCollWillerslevBioRxiv2025,,1300-1100 calBCE (3150±100 BP),3349,124,3101,3597,3349,1300-1100 calBCE (3150±100 BP),Shotgun,F,"1240k,ho"
VK414.SG,7469,Norway_Viking,"Skjåk nor (Nor South, Innlandet, Oppland)",Norway,61.88,8.4,MargaryanWillerslevNature2020,,900-1100 CE,950,58,834,1066,950,900-1100 CE,Shotgun,M,"1240k,ho"
CGG_2_107004.SG,118005,Norway_Skongeneshelleren_Roman,Skongeneshelleren (Western Norway/ Sogn and Fjordane),Norway,62.02973527,5.126940543,McCollWillerslevBioRxiv2025,,"9-124 calCE (1884±58 BP, UCIAMS-282667)",1799,72,1655,1943,1799,"9-124 calCE (1884±58 BP, UCIAMS-282667)",Shotgun,M,"1240k,ho"
CGG_2_107005.SG,118007,Norway_Skongeneshelleren_Roman,Skongeneshelleren (Western Norway/ Sogn and Fjordane),Norway,62.02973527,5.126940543,McCollWillerslevBioRxiv2025,,"88-211 calCE (1800±62 BP, UCIAMS-289257)",1694,78,1538,1850,1694,"88-211 calCE (1800±62 BP, UCIAMS-289257)",Shotgun,M,"1240k,ho"
CGG_2_107006.SG,118009,Norway_Skongeneshelleren_IA,Skongeneshelleren (Western Norway/ Sogn and Fjordane),Norway,62.02973527,5.126940543,McCollWillerslevBioRxiv2025,,400-550 calCE (1475±75 BP),1380,70,1240,1520,1380,400-550 calCE (1475±75 BP),Shotgun,M,"1240k,ho"
CGG_2_107007.SG,118011,Norway_Skongeneshelleren_IA,Skongeneshelleren (Western Norway/ Sogn and Fjordane),Norway,62.02973527,5.126940543,McCollWillerslevBioRxiv2025,,400-550 calCE (1475±75 BP),1380,70,1240,1520,1380,400-550 calCE (1475±75 BP),Shotgun,M,"1240k,ho"
CGG_2_107008.SG,118013,Norway_Skongeneshelleren_IA,Skongeneshelleren (Western Norway/ Sogn and Fjordane),Norway,62.02973527,5.126940543,McCollWillerslevBioRxiv2025,,400-550 calCE (1475±75 BP),1380,70,1240,1520,1380,400-550 calCE (1475±75 BP),Shotgun,F,"1240k,ho"
CGG_2_107009.SG,118015,Norway_Skongeneshelleren_IA,Skongeneshelleren (Western Norway/ Sogn and Fjordane),Norway,62.02973527,5.126940543,McCollWillerslevBioRxiv2025,,400-550 calCE (1475±75 BP),1380,70,1240,1520,1380,400-550 calCE (1475±75 BP),Shotgun,M,"1240k,ho"
CGG_2_105642.SG,117657,Norway_Solsem_LN_EBA,"Solsem (Central Norway/ Leka, Trøndelag)",Norway,65.0537443,11.5510834,McCollWillerslevBioRxiv2025,,"1871-1686 calBCE (3728±92 BP, TRa-17217 & TRa-17218, disarticulated skeletons)",4093,137,3819,4367,4093,"1871-1686 calBCE (3728±92 BP, TRa-17217 & TRa-17218, disarticulated skeletons)",Shotgun,F,"1240k,ho"
Steigen.SG,6134,Norway_N,"Steigen (Nordland, Steigen nor)",Norway,67.81,14.681,GüntherJakobssonPLoSBiol2018,,4000-3814 calBCE,5857,54,5749,5965,5857,4000-3814 calBCE,Shotgun,M,"1240k,ho"
VK519.SG,7569,Norway_Viking-2,"Steigen Mellem (78/- Hagbartsholm) (Nordland, Steigen)",Norway,67.93,14.96,MargaryanWillerslevNature2020,,500-1000 CE,1200,144,912,1488,1200,500-1000 CE,Shotgun,M,"1240k,ho"
VK418.SG,7472,Norway_IA,"Steigen øvre (77/1) (Nordland, Steigen)",Norway,67.94,14.98,MargaryanWillerslevNature2020,,300-400 CE,1600,29,1542,1658,1600,300-400 CE,Shotgun,M,"1240k,ho"
VK547.SG,7598,Norway_Viking,"Stokke (79/1) (Nordland, Tjelsund)",Norway,68.55,16.4,MargaryanWillerslevNature2020,,700-1100 CE,1050,115,820,1280,1050,700-1100 CE,Shotgun,M,"1240k,ho"
CGG_2_107038.SG,118071,Norway_StorfosenOrlandM_IA_LateGermanic,"Storfosen, Ørland M (Central Norway/ Trøndelag)",Norway,63.658607,9.421869,McCollWillerslevBioRxiv2025,,550-700 calCE (1325±75 BP),1225,75,1075,1375,1225,550-700 calCE (1325±75 BP),Shotgun,F,"1240k,ho"
CGG_2_105604.SG,117617,Norway_Sund_LN_EBA,Sund (Central Norway/ Trøndelag),Norway,63.8604,11.307,McCollWillerslevBioRxiv2025,,"1875-1686 calBCE (3730±94 BP, UCIAMS-282658)",4096,140,3816,4376,4096,"1875-1686 calBCE (3730±94 BP, UCIAMS-282658)",Shotgun,M,"1240k,ho"
CGG_2_105606.SG,117619,Norway_Sund_EBA,Sund (Central Norway/ Trøndelag),Norway,63.8604,11.307,McCollWillerslevBioRxiv2025,,1400-1100 calBCE (3200±150 BP),3416,193,3030,3802,3416,1400-1100 calBCE (3200±150 BP),Shotgun,M,"1240k,ho"
CGG_2_105608.SG,117621,Norway_Sund_LN,Sund (Central Norway/ Trøndelag),Norway,63.8604,11.307,McCollWillerslevBioRxiv2025,,"2021-1890 calBCE (3906±66 BP, UCIAMS-282659)",4328,98,4132,4524,4328,"2021-1890 calBCE (3906±66 BP, UCIAMS-282659)",Shotgun,M,"1240k,ho"
