schema_version,species_latin_name,species_common_name,source_family,sample_namespace,locality,latitude,longitude,sample_count,time_start_bp,time_end_bp,time_mean_bp,time_label,dating_basis,coordinate_confidence,datasets,sample_ids
adna-locality-summary-export.v1,Homo sapiens,human,AADR,homo_sapiens:aadr_genetic_id,Lund (Northern Norway/ Nordland),67.985361,15.181212,1,957,1353,1155,957-1353 BP,bp_mean_and_stddev,unknown,"1240k,ho",CGG_2_107010.SG
adna-locality-summary-export.v1,Homo sapiens,human,AADR,homo_sapiens:aadr_genetic_id,"Lund, Namsos M (Central Norway/ Trøndelag)",64.769002,11.596496,1,881,1301,1091,881-1301 BP,bp_mean_and_stddev,unknown,"1240k,ho",CGG_2_107024.SG
adna-locality-summary-export.v1,Homo sapiens,human,AADR,homo_sapiens:aadr_genetic_id,"Lunner nor (Nor South, Viken, Oppland)",60.29,10.63,1,820,1280,1050,820-1280 BP,bp_mean_and_stddev,unknown,"1240k,ho",VK415.SG
adna-locality-summary-export.v1,Homo sapiens,human,AADR,homo_sapiens:aadr_genetic_id,"Melem (Herstaen) (84/-) (Sør-Trøndelag, Bjugn)",63.7,9.75,1,874,2026,1450,874-2026 BP,bp_mean_and_stddev,unknown,"1240k,ho",VK523.SG
adna-locality-summary-export.v1,Homo sapiens,human,AADR,homo_sapiens:aadr_genetic_id,"Nord-Trøndelag (Stjørdal, Kil søndre)",63.44,11.22,1,1042,1158,1100,1042-1158 BP,bp_mean_and_stddev,unknown,"1240k,ho",VK548.SG
adna-locality-summary-export.v1,Homo sapiens,human,AADR,homo_sapiens:aadr_genetic_id,"Nordland, (17/- Vågehamn) (Nordland, Værøy)",67.69,12.7,1,1042,1158,1100,1042-1158 BP,bp_mean_and_stddev,unknown,"1240k,ho",VK518.SG
adna-locality-summary-export.v1,Homo sapiens,human,AADR,homo_sapiens:aadr_genetic_id,"Rjoa, Sola (Western Norway/ Rogland)",58.900214,5.652246,1,1378,1550,1464,1378-1550 BP,bp_mean_and_stddev,unknown,"1240k,ho",CGG_2_107044.SG
adna-locality-summary-export.v1,Homo sapiens,human,AADR,homo_sapiens:aadr_genetic_id,"Royne, Orlandet M (Central Norway/ Trøndelag)",63.715837,9.642296,1,1361,1585,1473,1361-1585 BP,bp_mean_and_stddev,unknown,"1240k,ho",CGG_2_107029.SG
adna-locality-summary-export.v1,Homo sapiens,human,AADR,homo_sapiens:aadr_genetic_id,"Rønvik Øvre (31/-) (Nordland, Bodø)",67.29,14.42,1,912,1488,1200,912-1488 BP,bp_mean_and_stddev,unknown,"1240k,ho",VK419.SG
adna-locality-summary-export.v1,Homo sapiens,human,AADR,homo_sapiens:aadr_genetic_id,"Sandeødegården on Nedre Hov (262/- or 263/-, Lindbak) (Nor South, Oppland, Gran)",60.36,10.57,1,812,1388,1100,812-1388 BP,bp_mean_and_stddev,unknown,"1240k,ho",VK417.SG
adna-locality-summary-export.v1,Homo sapiens,human,AADR,homo_sapiens:aadr_genetic_id,"Skjåk nor (Nor South, Innlandet, Oppland)",61.88,8.4,1,834,1066,950,834-1066 BP,bp_mean_and_stddev,unknown,"1240k,ho",VK414.SG
adna-locality-summary-export.v1,Homo sapiens,human,AADR,homo_sapiens:aadr_genetic_id,"Solsem (Central Norway/ Leka, Trøndelag)",65.0537443,11.5510834,1,3819,4367,4093,3819-4367 BP,bp_mean_and_stddev,unknown,"1240k,ho",CGG_2_105642.SG
adna-locality-summary-export.v1,Homo sapiens,human,AADR,homo_sapiens:aadr_genetic_id,"Steigen (Nordland, Steigen nor)",67.81,14.681,1,5749,5965,5857,5749-5965 BP,bp_mean_and_stddev,unknown,"1240k,ho",Steigen.SG
adna-locality-summary-export.v1,Homo sapiens,human,AADR,homo_sapiens:aadr_genetic_id,"Steigen Mellem (78/- Hagbartsholm) (Nordland, Steigen)",67.93,14.96,1,912,1488,1200,912-1488 BP,bp_mean_and_stddev,unknown,"1240k,ho",VK519.SG
adna-locality-summary-export.v1,Homo sapiens,human,AADR,homo_sapiens:aadr_genetic_id,"Steigen øvre (77/1) (Nordland, Steigen)",67.94,14.98,1,1542,1658,1600,1542-1658 BP,bp_mean_and_stddev,unknown,"1240k,ho",VK418.SG
adna-locality-summary-export.v1,Homo sapiens,human,AADR,homo_sapiens:aadr_genetic_id,"Stokke (79/1) (Nordland, Tjelsund)",68.55,16.4,1,820,1280,1050,820-1280 BP,bp_mean_and_stddev,unknown,"1240k,ho",VK547.SG
adna-locality-summary-export.v1,Homo sapiens,human,AADR,homo_sapiens:aadr_genetic_id,"Storfosen, Ørland M (Central Norway/ Trøndelag)",63.658607,9.421869,1,1075,1375,1225,1075-1375 BP,bp_mean_and_stddev,unknown,"1240k,ho",CGG_2_107038.SG
adna-locality-summary-export.v1,Homo sapiens,human,AADR,homo_sapiens:aadr_genetic_id,"Sørherøy (Prestegården, 4/1) (Nordland, Herøy)",65.97,12.27,1,1042,1158,1100,1042-1158 BP,bp_mean_and_stddev,unknown,"1240k,ho",VK526.SG
adna-locality-summary-export.v1,Homo sapiens,human,AADR,homo_sapiens:aadr_genetic_id,"Tommeidet (98/22) (Nordland, Nesna)",66.26,12.73,1,942,1058,1000,942-1058 BP,bp_mean_and_stddev,unknown,"1240k,ho",VK524.SG
adna-locality-summary-export.v1,Homo sapiens,human,AADR,homo_sapiens:aadr_genetic_id,"Tussøy, (188/1) (Troms, Tromsø)",69.47,18,1,942,1058,1000,942-1058 BP,bp_mean_and_stddev,unknown,"1240k,ho",VK520.SG
adna-locality-summary-export.v1,Homo sapiens,human,AADR,homo_sapiens:aadr_genetic_id,"Valstad, Verdal M (Central Norway/ Trøndelag)",63.769191,11.521827,1,1432,1680,1556,1432-1680 BP,bp_mean_and_stddev,unknown,"1240k,ho",CGG_2_107031.SG
adna-locality-summary-export.v1,Homo sapiens,human,AADR,homo_sapiens:aadr_genetic_id,Verket (Southern Norway/ Viken),59.613974,10.418527,1,3940,4472,4206,3940-4472 BP,bp_mean_and_stddev,unknown,"1240k,ho",CGG_2_105650.SG
adna-locality-summary-export.v1,Homo sapiens,human,AADR,homo_sapiens:aadr_genetic_id,"Vik, Orlandet M, T28126: 11 (Central Norway/ Trøndelag)",63.699306,9.64023,1,1356,1680,1518,1356-1680 BP,bp_mean_and_stddev,unknown,"1240k,ho",CGG_2_107025.SG
adna-locality-summary-export.v1,Homo sapiens,human,AADR,homo_sapiens:aadr_genetic_id,"Vikran Nordre (71/2) (Nordland, Steigen)",67.91,15.13,1,912,1488,1200,912-1488 BP,bp_mean_and_stddev,unknown,"1240k,ho",VK514.SG
adna-locality-summary-export.v1,Homo sapiens,human,AADR,homo_sapiens:aadr_genetic_id,"Ytre Kvaroy, Lurøy (Northern Norway/ Nordland)",66.49002,12.934392,1,998,1394,1196,998-1394 BP,bp_mean_and_stddev,unknown,"1240k,ho",CGG_2_107016.SG
adna-locality-summary-export.v1,Homo sapiens,human,AADR,homo_sapiens:aadr_genetic_id,"Ytterstad (17/-) (Nordland, Lødingen)",68.34,15.66,1,280,1320,800,280-1320 BP,bp_mean_and_stddev,unknown,"1240k,ho",VK388.SG
adna-locality-summary-export.v1,Homo sapiens,human,AADR,homo_sapiens:aadr_genetic_id,"Østråt (Austrått) (82/91) (Sør-Trøndelag, Ørlandet)",63.7,9.75,1,942,1058,1000,942-1058 BP,bp_mean_and_stddev,unknown,"1240k,ho",VK516.SG
